2021 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Antidepressant Medication Management (6 months) - DMC02,Continuous Beta Blocker Treatment - DMC03,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC04,Doctors who Communicate Well - DMC05,Call Center – Beneficiary Hold Time - DMC06,Pneumonia Vaccine - DMC07,Access to Primary Care Doctor Visits - DMC08,Call Center - Calls Disconnected When Customer Calls Health Plan - DMC09,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC10,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC11,Initiation of Substance Use Disorder Treatment - DMC12,Engagement of Substance Use Disorder Treatment - DMC13,Initiation and Engagement of Substance Use Disorder Treatment Average DMC14,Hospitalization for Potentially Preventable Complications - DMC15,Transitions of Care -  Medication Reconciliation Post-Discharge - DMC16,Transitions of Care - Notification of Inpatient Admission - DMC17,Transitions of Care - Patient Engagement After Inpatient Discharge - DMC18,Transitions of Care - Receipt of Discharge Information - DMC19,Physical Functioning Activities of Daily Living - DMC20,Care of Older Adults - Functional Status - DMC21,Kidney Health Evaluation for Patients With Diabetes - DMC22,Improving or Maintaining Physical Health - DMC23,Improving or Maintaining Mental Health - DMC24,Cardiac Rehabiliation - Acheivement - DMC25,Cardiac Rehabiliation - Engagement 1 - DMC26,Cardiac Rehabiliation - Engagement 2 - DMC27,Cardiac Rehabilation - Initiation - DMC28,Colorectal Cancer Screening (Age 45-75) - DMC29,Call Center - Calls Disconnected When Customer Calls Drug Plan - DMD01,Call Center – Beneficiary Hold Time - DMD02,MPF – Stability - DMD03,Call Center – Pharmacy Hold Time - DMD04,Plan Submitted Higher Prices for Display on MPF - DMD05,Reminders to Fill Prescriptions - DMD06,Reminders to Take Medications - DMD07,Antipsychotic Use in Persons with Dementia - DMD08,Antipsychotic Use in Persons with Dementia - for Long-Term Nursing Home Residents - DMD09,Concurrent Use of Opioids and Benzodiazepines - DMD10,Use of Opioids at High Dosage in Persons Without Cancer - DMD11,Use of Opioids from Multiple Providers in Persons Without Cancer - DMD12,Polypharmacy: Use of Multiple Anticholinergic Medications in Older Adults - DMD13,Polypharmacy: Use of Multiple CNS-Active Medications in Older Adults - DMD14,Initial Opioid Prescribing (IOP-LD) - DMD15,Persistence to Basal Insulin (PST-INS) - DMD16,Grievance Rate - DME01,"Disenrollment Reasons - Problems Getting the Plan to Provide and Pay for Needed Care (MA-PD, MA-only) - DME02","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME03","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME04","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME05","Disenrollment Reasons - Problems Getting Information and Help from the Plan (MA-PD, PDP) - DME06",Beneficiary Access and Performance Problems - DME07
H2293,Aetna Medicare,SILVERSCRIPT INSURANCE COMPANY,CVS Health Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0:21,Plan too new to be measured,Plan too new to be measured,1.10%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,1.10%,0:21,No data available,0:35,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2320,Priority Health Medicare,PRIORITY HEALTH,Corewell Health,67%,70%,93%,28%,92,0:26,79%,97%,1.00%,85%,84%,35%,4%,19%,11%,91%,83%,95%,69%,97%,Plan not required to report measure,58%,70%,83%,6%,21%,13%,15%,85%,1.00%,0:26,100,0:08,47,46%,23%,11%,8%,13.79%,5.13%,0.20%,7.01%,8.97%,13.88%,70.30%,7.09,8%,7%,24%,5%,4%,100
H2322,HAP Senior Plus (PPO),ALLIANCE HEALTH AND LIFE INSURANCE COMPANY,Henry Ford Health System,Not enough data available,75%,Not enough data available,42%,93,0:25,77%,97%,1.01%,81%,92%,39%,7%,23%,14%,73%,27%,93%,25%,93%,Plan not required to report measure,53%,64%,83%,4%,14%,5%,8%,68%,0.00%,0:24,100,0:21,47,55%,21%,12%,No data available,16.96%,6.95%,0.53%,8.48%,10.84%,12.09%,70.60%,7.72,9%,8%,26%,4%,10%,100
H2334,Clear Spring Health,"CLEAR SPRING HEALTH (SC), INC.",Group 1001,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,0:35,Plan too small to be measured,Plan too small to be measured,3.03%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan not required to report measure,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,3.03%,0:35,No data available,0:21,46,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,60
H2354,HAP Senior Plus,HEALTH ALLIANCE PLAN OF MICHIGAN,Henry Ford Health System,57%,66%,91%,33%,92,0:22,78%,96%,2.50%,76%,86%,47%,5%,26%,16%,74%,33%,91%,30%,95%,87%,59%,62%,86%,6%,19%,14%,9%,81%,1.00%,0:22,100,0:21,47,56%,25%,10%,7%,13.74%,3.64%,0.56%,8.58%,9.55%,12.30%,67.84%,5.97,15%,20%,31%,Not Available,12%,100
H2392,Kansas Health Advantage,"KANSAS SUPERIOR SELECT, INC.",Kansas Superior Select,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,0:30,Plan too small to be measured,100%,1.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,99%,10%,No data available,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,23%,1.00%,0:30,102,0:11,49,No data available,No data available,11%,6%,28.44%,9.26%,0.00%,22.27%,36.06%,52.53%,86.21%,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H2400,Signature Advantage (HMO SNP),"SIGNATURE ADVANTAGE, LLC","SA Plan, LLC",Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,1:16,Plan too small to be measured,100%,2.02%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,100%,0%,No data available,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,13%,2.02%,1:16,No data available,0:08,55,No data available,No data available,3%,3%,27.70%,0.58%,0.00%,15.51%,39.25%,60.60%,83.33%,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H2406,UnitedHealthcare,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,"UnitedHealth Group, Inc.",48%,68%,86%,32%,90,0:42,72%,97%,0.50%,74%,81%,31%,2%,16%,11%,66%,8%,86%,7%,99%,100%,54%,72%,88%,6%,11%,11%,6%,75%,0.50%,0:42,100,0:46,69,54%,27%,11%,4%,22.14%,10.19%,0.26%,6.85%,10.64%,13.07%,65.12%,4.14,18%,13%,27%,9%,9%,100
H2416,PrimeWest Health,PRIMEWEST RURAL MN HEALTH CARE ACCESS INITIATIVE,PrimeWest Rural MN Health Care Access Initiative,Not enough data available,83%,Not enough data available,18%,Not enough data available,0:09,69%,99%,0.00%,74%,93%,55%,0%,27%,35%,79%,60%,83%,54%,86%,83%,46%,68%,83%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,73%,0.00%,0:09,100,0:16,97,33%,32%,19%,14%,11.70%,3.70%,0.00%,11.98%,22.83%,10.38%,76.33%,0.35,Not Available,Not Available,Not Available,Not Available,Not Available,80
H2417,Itasca Medical Care/IMCare Classic,ITASCA MEDICAL CARE,Itasca County,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,0:00,Plan too small to be measured,Plan too small to be measured,1.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,85%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,1.00%,0:00,99,0:00,84,No data available,No data available,20%,21%,11.25%,0.00%,0.00%,7.97%,24.93%,18.56%,78.79%,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H2419,South Country Health Alliance,SOUTH COUNTRY HEALTH ALLIANCE,South Country Health Alliance,Not enough data available,83%,Not enough data available,29%,93,0:10,76%,98%,1.00%,58%,84%,45%,0%,22%,28%,59%,50%,81%,28%,90%,87%,40%,71%,85%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,66%,1.00%,0:10,100,0:11,78,29%,22%,15%,12%,11.52%,6.08%,0.00%,9.96%,21.07%,21.48%,84.28%,0.39,Not Available,Not Available,Not Available,Not Available,Not Available,100
H2422,HealthPartners,"HEALTHPARTNERS, INC.","HealthPartners, Inc.",Not enough data available,75%,Not enough data available,18%,92,1:00,69%,98%,1.00%,83%,96%,32%,3%,18%,26%,71%,64%,86%,59%,90%,92%,59%,67%,81%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,63%,1.00%,1:00,100,0:19,97,51%,37%,17%,14%,9.26%,4.76%,1.22%,13.40%,19.44%,9.35%,73.96%,5.13,Not Available,Not Available,Not Available,Not Available,Not Available,80
H2425,Blue Plus,HMO Minnesota,"Aware Integrated, Inc.",Not enough data available,79%,Not enough data available,16%,91,0:49,73%,97%,1.00%,84%,91%,44%,5%,24%,24%,80%,47%,89%,38%,88%,87%,31%,65%,85%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,70%,1.00%,0:09,100,0:15,50,39%,26%,17%,15%,12.33%,5.06%,0.08%,9.45%,20.25%,14.75%,79.77%,1.43,Not Available,Not Available,Not Available,Not Available,Not Available,100
H2450,Medica,MEDICA INSURANCE COMPANY,Medica Holding Company,52%,72%,Plan not required to report measure,29%,93,Plan not required to report measure,78%,96%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,52%,3%,28%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,96%,Plan not required to report measure,23%,72%,82%,11%,38%,24%,43%,70%,Plan not required to report measure,Plan not required to report measure,102,Plan not required to report measure,47,49%,27%,15%,20%,11.41%,5.53%,0.19%,5.43%,8.00%,7.97%,75.57%,1.54,15%,8%,37%,Not Available,9%,100
H2456,UCare's MSHO,UCARE MINNESOTA,UCare Minnesota,63%,64%,Not enough data available,16%,92,0:01,70%,97%,0.00%,81%,91%,44%,6%,25%,26%,38%,31%,72%,23%,91%,89%,36%,72%,80%,6%,9%,11%,9%,64%,0.00%,0:01,98,0:21,49,53%,41%,18%,12%,11.75%,5.07%,0.66%,13.26%,20.61%,14.46%,73.25%,0.34,Not Available,Not Available,Not Available,Not Available,Not Available,100
H2458,Medica,MEDICA HEALTH PLANS,Medica Holding Company,63%,71%,Not enough data available,21%,92,1:53,74%,97%,0.00%,69%,90%,40%,5%,23%,26%,72%,75%,91%,45%,87%,89%,27%,72%,81%,0%,23%,9%,17%,70%,0.00%,1:53,101,0:21,49,53%,43%,16%,14%,11.92%,5.06%,1.68%,14.02%,23.86%,15.51%,76.98%,1.64,Not Available,Not Available,Not Available,Not Available,Not Available,100
H2459,UCare,UCARE MINNESOTA,UCare Minnesota,60%,75%,94%,28%,93,0:02,80%,95%,0.00%,77%,86%,33%,5%,19%,13%,61%,53%,85%,35%,98%,No data available,36%,72%,89%,3%,28%,15%,38%,79%,0.00%,0:02,98,0:21,47,44%,18%,13%,20%,8.52%,4.76%,0.42%,6.25%,7.10%,7.17%,71.22%,0.89,7%,10%,28%,9%,7%,80
H2461,Blue Cross and Blue Shield of Minnesota,"BCBSM, Inc.","Aware Integrated, Inc.",69%,72%,Plan not required to report measure,26%,92,Plan not required to report measure,75%,96%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,52%,6%,29%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,95%,Plan not required to report measure,19%,69%,83%,23%,49%,37%,51%,77%,Plan not required to report measure,Plan not required to report measure,100,Plan not required to report measure,48,45%,23%,12%,14%,10.87%,3.94%,0.86%,4.78%,8.44%,7.29%,73.61%,4.77,5%,3%,52%,6%,4%,100
H2462,HealthPartners,"GROUP HEALTH PLAN, INC. (MN)","HealthPartners, Inc.",Not enough data available,Not enough data available,Plan not required to report measure,29%,92,Plan not required to report measure,76%,95%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,98%,Plan not required to report measure,34%,69%,86%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,72%,Plan not required to report measure,Plan not required to report measure,No data available,Plan not required to report measure,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,11.64,Not Available,Not Available,Not Available,Not Available,Not Available,100
H2463,Humana,"HUMANA HEALTH PLAN OF TEXAS, INC.",Humana Inc.,Not enough data available,72%,Not enough data available,22%,Not enough data available,2:05,70%,94%,3.37%,Not enough data available,Not enough data available,66%,13%,39%,14%,79%,45%,91%,18%,93%,Plan not required to report measure,55%,63%,87%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,71%,3.37%,2:05,100,0:09,84,55%,29%,6%,No data available,4.54%,6.58%,0.00%,6.67%,9.53%,17.61%,64.41%,1.91,Not Available,Not Available,Not Available,Not Available,Not Available,100
H2478,Molina Healthcare of Nevada,MOLINA HEALTHCARE OF NEVADA INC,"Molina Healthcare, Inc.,",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0:09,Plan too new to be measured,Plan too new to be measured,1.01%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,1.01%,0:09,No data available,1:06,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2486,Humana,"HUMANA MEDICAL PLAN OF UTAH, INC.",Humana Inc.,44%,65%,Not enough data available,17%,Not enough data available,2:05,75%,95%,3.37%,83%,87%,67%,10%,38%,9%,83%,66%,89%,27%,96%,Plan not required to report measure,56%,64%,82%,2%,3%,5%,2%,80%,3.37%,2:05,100,0:09,85,59%,27%,10%,No data available,12.03%,11.15%,0.60%,7.23%,12.57%,20.80%,63.62%,2.11,19%,16%,20%,Not Available,18%,100
H2491,Wellcare,"WELLCARE HEALTH INSURANCE OF ARIZONA, INC.",Centene Corporation,30%,52%,89%,15%,Not enough data available,0:57,58%,93%,1.41%,72%,87%,34%,4%,19%,13%,42%,8%,75%,6%,90%,59%,45%,72%,87%,2%,3%,3%,2%,53%,1.41%,0:57,100,1:07,90,68%,49%,10%,12%,12.43%,5.57%,0.82%,10.39%,12.28%,12.23%,65.76%,6.98,23%,32%,20%,Not Available,18%,60
H2506,Aetna Better Health Premier Plan,Aetna Better Health Premier Plan MMAI Inc.,CVS Health Corporation,35%,61%,Not enough data available,17%,92,0:51,53%,84%,2.00%,88%,92%,43%,8%,25%,26%,78%,2%,61%,2%,87%,Plan not required to report measure,34%,72%,85%,6%,8%,9%,3%,42%,2.00%,0:51,99,0:14,79,57%,44%,9%,8%,18.43%,4.21%,0.56%,11.73%,15.17%,18.29%,65.05%,0.05,Not Available,Not Available,Not Available,Not Available,Not Available,40
H2509,UnitedHealthcare,"UNITEDHEALTHCARE OF FLORIDA, INC.","UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0:32,Plan too new to be measured,Plan too new to be measured,2.25%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,2.25%,0:32,No data available,0:37,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2526,Devoted Health,DEVOTED HEALTH PLAN OF OHIO INC,"Devoted Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0:05,Plan too new to be measured,Plan too new to be measured,1.10%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,1.10%,0:05,No data available,1:06,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2531,UnitedHealthcare Community Plan,"UNITEDHEALTHCARE COMMUNITY PLAN OF OHIO, INC.","UnitedHealth Group, Inc.",69%,62%,Not enough data available,15%,91,0:56,63%,92%,1.00%,75%,89%,67%,11%,39%,24%,47%,12%,75%,12%,87%,Plan not required to report measure,31%,71%,80%,2%,5%,5%,4%,55%,1.00%,0:56,100,0:37,77,53%,37%,9%,6%,14.75%,3.06%,0.56%,14.43%,20.55%,17.02%,71.46%,0.19,Not Available,Not Available,Not Available,Not Available,Not Available,80
H2533,Molina Healthcare of South Carolina,"MOLINA HEALTHCARE OF SOUTH CAROLINA, INC.","Molina Healthcare, Inc.,",39%,67%,Not enough data available,16%,Not enough data available,0:05,63%,92%,0.00%,76%,88%,49%,6%,28%,26%,31%,1%,76%,1%,90%,Plan not required to report measure,30%,67%,86%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,54%,0.00%,0:05,100,1:07,93,59%,43%,15%,11%,15.07%,2.68%,0.24%,13.90%,14.46%,23.52%,64.47%,0.22,Not Available,Not Available,Not Available,Not Available,Not Available,60
H2563,Sentara Medicare,OPTIMA HEALTH PLAN,Sentara Health Care (SHC),54%,73%,95%,28%,92,2:14,71%,96%,0.00%,84%,87%,26%,4%,15%,13%,52%,0%,85%,13%,95%,61%,49%,64%,86%,6%,13%,11%,7%,67%,0.00%,2:14,102,0:42,69,58%,33%,14%,16%,12.31%,8.13%,0.35%,8.60%,11.38%,9.68%,68.18%,CMS Found Issues with Plan's Data,22%,27%,18%,Not Available,20%,80
H2577,UnitedHealthcare,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,"UnitedHealth Group, Inc.",44%,67%,85%,35%,91,0:37,72%,96%,0.40%,77%,81%,42%,5%,24%,12%,59%,12%,87%,14%,Plan too new to be measured,Plan not required to report measure,38%,Plan too new to be measured,Plan too new to be measured,7%,15%,14%,10%,79%,0.40%,0:37,100,0:46,72,53%,27%,11%,15%,15.16%,7.98%,0.20%,8.12%,11.35%,14.31%,65.74%,4.25,16%,19%,23%,Not Available,15%,100
H2582,UnitedHealthcare,ROCKY MOUNTAIN HEALTH MAINTENANCE ORGANIZATION INC,"UnitedHealth Group, Inc.",61%,75%,Not enough data available,37%,Not enough data available,0:40,75%,93%,2.01%,73%,88%,19%,5%,12%,11%,68%,60%,88%,53%,Plan too new to be measured,84%,33%,Plan too new to be measured,Plan too new to be measured,10%,18%,15%,18%,68%,2.01%,0:40,100,0:37,71,43%,21%,13%,26%,17.26%,6.04%,0.19%,11.15%,14.50%,13.45%,71.28%,6.61,23%,28%,17%,10%,13%,100
H2591,Health Alliance Medicare,"HEALTH ALLIANCE - MIDWEST, INC.",The Carle Foundation,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,Not enough data available,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan not required to report measure,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,4.82%,11.96%,2.11%,No data available,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H2593,Amerigroup,"AMERIGROUP TEXAS, INC.","Elevance Health, Inc.",40%,54%,88%,20%,Not enough data available,0:40,51%,86%,0.00%,66%,81%,35%,5%,20%,23%,57%,4%,73%,3%,71%,64%,43%,49%,81%,2%,2%,3%,2%,49%,2.17%,0:12,100,0:41,95,56%,41%,10%,9%,14.60%,4.10%,0.18%,11.43%,13.49%,18.18%,60.80%,4.28,4%,16%,4%,4%,5%,80
H2610,Essence Healthcare,"ESSENCE HEALTHCARE, INC.",Lumeris Group Holdings Corporation,39%,72%,89%,35%,93,0:32,80%,98%,1.00%,80%,84%,16%,2%,9%,11%,88%,63%,93%,41%,94%,Plan not required to report measure,83%,72%,79%,1%,11%,5%,6%,83%,1.00%,0:32,100,0:17,96,55%,26%,9%,9%,15.53%,2.99%,0.15%,8.94%,11.49%,7.94%,67.42%,6.27,10%,45%,5%,3%,6%,100
H2624,CARE N'' CARE INSURANCE COMPANY OF NORTH CAROLINA,CARE N' CARE INSURANCE COMPANY OF NORTH CAROLINA,"HTA Holdings, LLC",Not enough data available,Not enough data available,Not enough data available,Not enough data available,92,0:46,85%,100%,5.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,89%,62%,97%,48%,Plan too new to be measured,92%,43%,Plan too new to be measured,Plan too new to be measured,Not enough data available,Not enough data available,Not enough data available,Not enough data available,86%,5.00%,0:46,100,0:54,49,64%,52%,11%,No data available,17.73%,5.92%,0.00%,7.04%,12.68%,19.30%,75.16%,2.75,Not Available,Not Available,Not Available,Not Available,Not Available,80
H2663,Aetna Medicare,"COVENTRY HEALTH CARE OF MISSOURI, INC",CVS Health Corporation,45%,72%,94%,30%,93,0:23,77%,97%,1.06%,84%,86%,31%,2%,17%,14%,95%,30%,81%,26%,98%,Plan not required to report measure,55%,69%,86%,8%,16%,15%,10%,82%,1.06%,0:23,100,0:35,91,55%,26%,8%,13%,14.23%,3.82%,0.17%,6.63%,8.30%,16.95%,67.97%,1.69,17%,21%,20%,9%,14%,100
H2686,Devoted Health,DEVOTED HEALTH INSURANCE COMPANY OF HAWAII INC,"Devoted Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0:05,Plan too new to be measured,Plan too new to be measured,0.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0.00%,0:05,No data available,1:06,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2694,eternalHealth,"ETERNALHEALTH, INC.","Eternal Health of Delaware, Inc.",Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,1:05,Plan too small to be measured,Plan too small to be measured,5.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,Plan not required to report measure,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,3.00%,1:00,No data available,0:56,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,80
H2697,Devoted Health,"DEVOTED HEALTH PLAN OF OHIO, INC.","Devoted Health, Inc.",45%,75%,Not enough data available,Not enough data available,93,0:05,70%,95%,1.10%,74%,82%,26%,5%,16%,16%,88%,72%,87%,14%,Plan too new to be measured,No data available,44%,Plan too new to be measured,Plan too new to be measured,Not enough data available,Not enough data available,Not enough data available,Not enough data available,86%,1.10%,0:05,100,1:06,93,56%,29%,5%,No data available,9.58%,1.31%,0.27%,8.76%,10.35%,12.97%,64.56%,46.71,Not Available,Not Available,Not Available,Not Available,Not Available,100
